PREFIX,ITEM,DESCRIPTION,WEIGHT
0202,2424,"14""X24' 500# ALUM. PICK",109
0202,2428,"14""X28' 500# ALUM. PICK",127
090,243,SCREWJACK 1M W/O HANDLE 1.3M,9
0202,2432,"14""X32' 500# ALUM. PICK",186
2050,24387,TIE ROD 100 (DW15),3.17
SW68,243A0481,ROLLER SLEEVE KEY,0
040,244,HANDLE SCREWJACK 1M,4
040,245,FRAME ALUMA ASSEMBLED 6X8,60
040,246,FRAME ALUMA LEG 8FT,5
SW69,246X159,SCREW JACK U ADAPTER,5.1
040,247,HOOK JACK RETAINING ALUMA,4
040,248,BRACKET HANDRAIL POST (UK),5
040,249,BRACKET STRINGER SADDLE BEAM,2
SW64,24929,HANDLE;BRAKE RELEASE,1
010,25,BEAM ANTHES 16FT,60
SW64,25-001,BUSHING;OVERLOAD SHAFT;SC30/40,0.03
SW64,25-002,BUSHING;SLV;TRACTION HSG;SC,0.25
SW64,25-004,HANDLE;SINGLE ARM LEVER,1
040,250,BEAM STRINGER SADDLE 6',49
SW64,250726,GASKET;BLANK T29 HSG 3/4,0
0202,2508,"20""X8'  500# ALUM. PICK",34
0413,250X100MM,250MM STOPNOCS 100MM THICK,1
0413,250X50MM,250MM STOPNOCS 50MM THICK,1
040,251,PLATE DROP LOCK RETAINER RPR,0.2
0202,2510,"20""X10' 500# ALUM. PICK",50
0202,2511,"20""X11' 500# ALUM. PICK",53
0202,2512,"20""X12' 500# ALUM. PICK",56
0202,2514,"20""X14' 500# ALUM. PICK",63
1045,2514CPLR,RIGID COUPLER 48/48 W.A.F.22,2.6
0202,2516,"20""X16' 500# ALUM. PICK",70
0202,2518,"20""X18' 500# ALUM. PICK",123
040,252,BRACKET SPEC SADDLE BEAM END,2
0202,2520,"20""X20' 500# ALUM. PICK",102
0202,2522,"20""X22' 500# ALUM. PICK",108
0202,2524,"20""X24' 500# ALUM. PICK",121
0202,2526,"20""X26' 500# ALUM. PICK",118
0202,2528,"20""X28' 500# ALUM. PICK",157
0202,2530,"20""X30' 500# ALUM. PICK",168
0202,2532,"20""X32' 500# ALUM. PICK",179
0202,2536,"20""X36' 500# ALUM. PICK",246
0202,2539,"20""X39' 500# ALUM. PICK",268
040,254,BEAM STRONGBACK SADDLE 6FT,65
040,255,BRACKET END 6FT SADDLE BEAM,2
050,257,FRAME ALUMACS 4X4 10KIP NOM/LEG,23
050,258,FRAME ALUMACS 4X6 10KIP  NOM/LEG,31
050,259,FRAME ALUMACS 4X8 10KIP NOM/LEG,48
0408,25CBL,25' CABLE LADDER,62.5
0408,25CL,25' CHAIN LADDER,93.75
07,25X011,(0004) (RM) JOIST CLIP MAT'L REGULAR,0
07,25X015,(0004) (RM) TAPERED JOIST CLIP MATERIAL,0
07,25X025,(0004) BEARING CASTER WHEEL - FAFNIR # 204PP,0
07,25X026,(0004) BEARING TRUST FOR HANDLE - TIMKIN T-101,0
07,25X027,(0004) BEARING THRUST FOR JACK SIMCO ST6496-8,0
07,25X029,(0004) MALE ELBOW IF JACK 2501-06-04,0
07,25X031,"(0004) WHEEL, METAL - IF JACK",0
07,25X032,(0004) IF JACK  ENERPAC P50 PUMP,0
07,25X033,"(0004) IF JACK GEORG HYD CYL OHC302515PP,125",0
07,25X040,(0004) 3\8 NPT TO 1\8 HOSE 90EL 028-F61659,0
07,25X049,(0004) LIFTING ANGLE ASSY IF JACK DRWG 41104-A,0
07,25X050,(0004) IF JACK HUB NEW STYLE DRWG # 100-1-1,0
07,25X056,"(0004) NUT, NYLOCK 1""-14Z",0
07,25X058,(0004) HUB FOR IF JACK,0
07,25X072,(0004) HANDLE LATCH FOR IF JACK,0
07,25X089,"(0004) ROLLERS, TAPERED (41104-BLUE JACK OLD ST",0
07,25X090,"(0004) ROLLERS, STRAIGHT (41104 - (NEW STYLE)",0
07,25X093,(0004) HOSE SET (BLUE JACK),0
010,26,BEAM ANTHES 17FT,64
050,260,STAFF EXTENSION 29IN,4
03,260020,"ROLLER BUMPER 12"" STD",22
03,260030,ROLLER BUMPER ASSY BOAT,
200,2605,HOIST G4 DOWEL HOUSING COV RPR,1
0202,2608,"24""X8'  500# ALUM. PICK",38
050,261,CONNECTOR INTER FRAME ALUMACS,1
0202,2610,"24""X10' 500# ALUM. PICK",49
0202,2612,"24""X12' 500# ALUM. PICK",56
0202,2613,"24""X13' 500# ALUM. PICK",58
0202,2614,"24""X14' 500# ALUM. PICK",61
0202,2615,"24""X15' 500# ALUM. PICK",63
0202,2616,"24""X16' 500# ALUM. PICK",81
0406,2616000B,AR 10 P. JOINT F. HANDRAIL,2.2
0406,2616006B,AR 10P TUBE CAP FOR HANDRAIL TUBE,0.01
0202,2618,"24""X18' 500# ALUM. PICK",89
050,262,HORIZONTAL ALUMACS FRAME,3
0202,2620,"24""X20' 500# ALUM. PICK",115
0202,2622,"24""X22' 500# ALUM. PICK",120
0202,2623,"24""X23' 500# ALUM. PICK",128
0202,2624,"24""X24' 500# ALUM. PICK",138
0202,2626,"24""X26' 500# ALUM. PICK",142
0202,2627,"24""X27' 500# ALUM. PICK",164
0202,2628,"24""X28' 500# ALUM. PICK",168
0202,2629,"24""X29' 500# ALUM. PICK",172
050,263,PIN U ALUMACS FRAME,1
0202,2630,"24""X30' 500# ALUM. PICK",180
0202,2632,"24""X32' 500# ALUM. PICK",191
0202,2634,"24""X34' 500# ALUM. PICK",198
0202,2636,"24""X36' 500# ALUM. PICK",261
0202,2638,"24""X38' 500# ALUM. PICK",275
0202,2639,"24""X39' 500# ALUM. PICK",283
050,264,BEAM SADDLE 4FT,18
050,265,"PLATE BASE, ALUMACS FRAME",8
03,265200,50# STEEL COUNTERWEIGHT,
03,265299,SPLICE TUBE BEAM ASSEMBLY,11.9
03,265300,"2PC ALUM BM/2 PINS,COLLARS",
03,265317,I BEAM SPLICE TUBE,
03,265363,I BEAM L HANGER BKT,
03,265399,SPLICE TUBE IBEAM & DOLLY,
03,265451,TELESCOPIC OUTRIGGER,
03,265600,STANCHION STINK PIPE,13
060,266,TRUSS SLING NYLON 6' W/WR PAD (TC1-906),12
060,267,TRUSS JACK HYDRAULIC 3 TON (MDL 954),156
SW64,267324,GRIPHOIST;TU-17,0
060,268,TRUSS JACK HYDRA 4 TON WALKER,185
SW64,26846,VALVE;MAIN;RC 3 WAY;PC REMOTES,1
060,269,SADDLE PLATE 3 TON JACK,21
SW64,26908,BOSUN CHAIR;ASTRO/MC10/PC1,38
010,27,BEAM ANTHES 18FT,67
060,271,TRUSS JACK HYDRAULIC UNIT 5FT,276
0202,2712,"28""X12' 500# ALUM. PICK",60
0202,2713,"28""X13' 500# ALUM. PICK",67
0202,2714,"28""X14' 500# ALUM. PICK",74
0202,2715,"28""X15' 500# ALUM. PICK",82
0202,2716,"28""X16' 500# ALUM. PICK",87
0202,2718,"28""X18' 500# ALUM. PICK",93
060,272,TRUSS JACK 10 TON,1
0202,2720,"28""X20' 500# ALUM. PICK",124
0202,2722,"28""X22' 500# ALUM. PICK",132
0202,2724,"28""X24' 500# ALUM. PICK",147
0202,2726,"28""X26' 500# ALUM. PICK",165
0202,2728,"28""X28' 500# ALUM. PICK",187
060,273,TRUSS JACK 5 TON HYDRAULIC,260
0202,2730,"28""X30' 500# ALUM. PICK",200
03,2731,HOIST A4 OIL SEAL RET. 101-209 RPR,0.01
0202,2732,"28""X32' 500# ALUM. PICK",213
0202,2734,"28""X34' 500# ALUM. PICK",245
0202,2736,"28""X36' 500# ALUM. PICK",285
0202,2739,"28""X39' 500# ALUM. PICK",310
060,275,TRUSS MECH LOWERING DEVICE 4FT,190
0413,275X100MM,275MM STOPNOCS 100MM THICK,1
0413,275X50MM,275MM STOPNOCS 50MM THICK,1
SW64,276702,"SCREEN;1""SQ;16GAX48"";WELD;GALV",1
060,277,TRUSS TOP CHORD LH 30FT,90
060,278,TRUSS SPLICE TOP CHORD,2
060,279,TRUSS 10FT SPACER #5 (3.30M),170
0404,279550,CUPLOK UNIVERSAL JACK,4
0404,279657,CUPLOK FORKHEAD,5.21
07,27X002,"(0004) (RM) 3 1/2"" SQUARE BAR 1018",0
060,280,TRUSS 10FT SPACER #5E (3.30M),200
060,281,TRUSS 10' SPACER #6 (3.30M),188
060,282,TRUSS 10FT SPACER #6E (3.30M),210
060,285,TRUSS SPLICE BOTTOM CHORD,5
060,286,TRUSS SPLICE COMBINATION,4
03,2863,HOIST T7 TELSCOP LEVR 0924 007 RPR,5
060,287,TRUSS JACK STIFFENER,2
07,288,TRUSS JACK LOCK TOP 1 1/2 RPR,0.2
SW64,289690,HOSE;LOW PRESSURE;3/16,1
010,29,BEAM ANTHES 20FT,75
SW64,29-001,SHAFT;OVERSPEED CAM;SC,1
SW64,29-002,CAM;OVERSPEED;SC30/40 SERIES,1
SW64,29-004,BLOCK;CABLE GRAB;SC HOISTS,0.31
SW64,29-005,TRACK;MOTOR PLATE ROLLER;SC,1
SW64,29-010,LEVER;SLACK ROPE;SC HOISTS,0.38
SW64,29-022,SCREW;MODIFIED;5/16-18 X 2 1/4,0.01
SW64,29-026,MANIFOLD;AIR HOIST;SC30,1
SW64,29-034,CAM;OVERSPEED;PC1,1
SW64,29-040,DOOR;ACCESS;MACHINED;PC1,1
SW64,29-051,GUIDE;INLET;PC1,1
SW64,29-061,BLOCK;SWR;OVERRIDE FOR UNDERLD,1
060,290,TRUSS PICK,21
SW64,29037,MUFFLER;POROUS METAL,1
060,291,TRUSS PICK LOCK C/W BUSHING,0.1
200,2912,HOIST T13 F JAW BLOCK PLATE LH RRP,1
060,292,TRUSS PICK SPRING (AM 16023) RPR,0.01
SW64,292313,CONNECTOR BODY;HUBBELL 2313,0.35
SW64,292321,PLUG;HUBBELL 2321,0.2
SW64,292323,CONNECTOR BODY;HUBBELL 2323,0
SW64,292411,PLUG;HUBBELL 2411,0
SW64,292413,CONNECTOR BODY;HUBBELL 2413,0.35
SW64,292421,PLUG;HUBBELL;2421,0.25
SW64,292423,CONNECTOR BODY;HUBBELL 2423,0.4
SW64,292611,PLUG;30A 125V;HUBBELL 2611,0.25
SW64,292621,PLUG;HUBBELL 2621,0.25
SW64,292623,CONNECTOR BODY;HUBBELL 2623,0
SW64,292711,PLUG;HUBBELL 2711,0
SW64,292713,CONNECTOR BODY;HUBBELL 2713,0
SW64,292721,PLUG;HUBBELL 2721,0.25
SW64,292723,CONNECTOR BODY;HUBBELL 2723,0.4
SW64,292811,PLUG;HUBBELL #2811,0
SW64,292813,CONNECTOR BODY;HUBBELL #2813,0
060,293,TRUSS JACK HYDR UNIT 6F ELCTRC,450
SW64,293431,PLUG;HUBBELL 3431,0
SW64,293433,CONNECTOR BODY;HUBBELL 3433C,0.4
SW64,293523,CONNECTOR BODY;HUBBELL 3523,0
SW64,29403,VALVE;REMOTE;PC REMOTES,1
SW64,295266,PLUG;HUBBELL 5266-C,0
060,296,TRUSS BRACING PLATE ASSEMBLY,1
SW64,296023,COVER;HUBBELL 6023,0
SW64,296024,COVER;HUBBELL 6024,0.24
SW64,296031,COVER;HUBBELL 6031,0.2
SW64,2960310,COVER;YELLOW;HUBBELL 60CM31,0
SW64,296032,COVER;HUBBELL 6032,0.4
SW64,296035,COVER;HUBBELL 6035;PLUG,0.25
060,297,TRUSS TOP CHORD RH 30FT,90
SW64,29707,LABEL;TIEBACK CABLE,1
SW64,297101,CONNECTOR BODY;HUBBELL 7101C,0
SW64,297102,PLUG;HUBBELL 7102C,0
060,299,TRUSS STEEL PIVOT JACK SCREW,15
07,2X4,2 X 4 BOARDS,
07,2X4PLWD,2X4 PLYWOOD,
07,2X4X10#2,2X4X10 #2 BOARD,
SW16,2Z00XA151B0004,SP SYS END CONNECTOR INSERT,10
SW13,2Z00XA176A0001,SP SPECIAL BASE PLATE T&C,6.6
SW16,2Z02XA151B0003,SP SYS BASE BEAM STL W10X22X14,308
SW16,2Z07XA151B0001,SYS BRACKET SIDE 2' SPECIAL,21.2
SW16,2Z07XA151B003,"SYS BRACKET SIDE 33"" SPECIAL",24
SW90,2Z88BCA,SP BEAM CLAMP,14
SW10,2Z93XA101A0009,SP FR LOF6QLH1S,50.4
SW16,2Z95XA151C004,SP SYS BASE BEAM W8X28X11',200
SW10,2Z95XN101B0001,SP PAS FR STEP EXTENSION,0
SW16,2Z97X7126A0001,SP SYS RUBBER PAD,0.63
SW10,2ZA11AX443,SP SIDE BRKT END GUARD R PANEL,10
SW90,2ZATH300H,"SP AIR HOSE 3/4"" X 300' W/CPLG",0
SW90,2ZBEAMHG,SP BEAM HANGER EAGLE METAL,10
SW10,2ZBR12L,"SP BRACKET SIDE 12"" *SPECIAL**",5.7
SW90,2ZCHAINCLAMP,SP CHAIN CLAMPS EAGLE METAL,5
SW10,2ZFO75SPQLH,SP SWC SIDEWALK FR 5'W-PRTLND,53.5
SW90,2ZGRDANCH,"SP GROUND ANCHOR 30""",0
SW65,2ZLE500SW,SP LE500 HOIST 220V 3PH 1000#,0
SW65,2ZLHRWB18,"SP LISBON 18""RND WRKBSKT W/KIT",38
SW65,2ZLHRWB24,"SP LISBON 24""RND WRKBSKT W/KIT",0.01
SW62,2ZPOWER BOOSTER,SP VOLTAGE/BUCK BOOSTER,0
SW90,2ZSALCS18,BRACKET - LADDER FOR SALCS618,0
SW16,2ZSBF2W,SP SYS SUPPORT FR 2',0
SW16,2ZSBF4,SP SYS SUPPORT FR 4',32
SW16,2ZSBR1,SP SYS BEARER/RUNNER 1',0
SW90,2ZSCAFBUGGY,SP SCAFFOLD BUGGY CART        ,0.01
SW90,2ZSKIDPAN,SP 4X8 SKID PAN W/ RIGGING    ,0.01
SW16,2ZSSAP,SP SUSP POST 04XA151B0005,0
SW16,2ZSSAPH,SP SUSP POST HNGR 02XA151A0008,0
SW16,2ZSSP9-5EC,"SP SYS STL PLANK 9""WX5'W/CAP",22.1
SW16,2ZSSP9-8EC,"SP STL PLANK 9""W X 8'W/CAP SYS",35
SW13,2ZSTC10-6,"SP TC STL TUBEX 10'6"" 190095G",0
SW90,2ZVDN4X150,SP DEBRIS NET 4' X 150',30
SW90,2ZVDN86X150,"SP DEBRIS NET 8'6"" X 150'",59
SW90,2ZVDN8X150,SP DEBRIS NET 8' X 150',43
SW90,2ZVEEVB75,SP PSC ELEC 3/4KVA 10%V BSTRN,40
SW90,2ZVGRGTEX2534,"T&C GATE 25""W-34""OPENING W/HAN",34
SW90,2ZVHCATRBM25,SP BEAM 25'TROLLEY,0
SW90,2ZVPOLY6M20X100,SP POLY REINF 6MILL 20' X 100',55
SW90,2ZVPOLY6M40X100,SP POLY REINF 6MILL 40' X 100',82
SW90,2ZVSPPDS0719,"ALUM PLY DECK 19""W X 7'L 2 MAN",0
SW90,2ZVSPPDS1019,ALUM PLY DECK 19'W X 10'L 3MAN,0
SW90,2ZVTCGATE,"T&C GATE 38"" 1-36"" OPENING W/HAN",20
SW90,2ZVTCGATEW/TBL,SP GATE W/ TOEBOARD LEFT STOP ,33.2
SW90,2ZVTCGATEW/TBR,SP GATE W/ TOEBOARD RIGHT STOP,33.2
SW90,2ZVTCGRG,"T&C GATE 32""W-30""OPENING W/O H",18
SW90,2ZWUB,SP WIDE U-BOLT,1
SW64,3-109,BRACKET;PRESSURE ROLLER,1
SW64,3-135,PIN;CLIP HANDLE;PC-20,1
07,"3/4""MAN","3/4"" MANILLA ROPE",0
07,"3/4""POLY","3/4"" POLY PRO ROPE",0
010,30,BEAM ANTHES 21FT,79
0408,300,CHUTE SECTION W/CHAINS,20
SW73,3000030,TUBE STEEL (1.90 DIA.) PER FT.,2.4
SW73,3000061,TUBE STEEL  2',4.8
SW73,3000091,TUBE STEEL 3',7.2
SW73,3000122,TUBE STEEL  4',9.6
SW73,3000157,TUBE STEEL  5',12
SW73,3000182,TUBE STEEL  6',14.4
SW73,3000243,TUBE STEEL  8',19.2
290,30003,OUTSIDE BAY CORNER 3',23
SW73,3000305,TUBE STEEL 10',24
SW73,3000368,TUBE STEEL 12',28.8
290,30004,OUTSIDE BAY CORNER 4',38.39
SW73,3000426,TUBE STEEL 14',33.6
SW73,3000486,TUBE STEEL 16',38.4
290,30006,OUTSIDE BAY CORNER 6',54.27
SW73,3000610,TUBE STEEL 20',48
290,30008,OUTSIDE BAY CORNER 8',73.03
290,30013,INSIDE BAY CORNER 3',16
290,30014,INSIDE BAY CORNER 4',19.6
SW64,3003-02,PLATE;UPPER DRUM BASE;ST-26A,0
SW64,3006-01,WELDMENT;QUADRAPOD;AIR PANEL,18
290,30073,INSIDE HINGED CORNER 3',22.43
290,30074,INSIDE HINGED CORNER 4',29.9
290,30075,INSIDE HINGED CORNER 5',41
290,30076,INSIDE HINGED CORNER 6',49
07,300776,(3179) REPAIR SIDERAIL 300MM (BLACK),56
290,30078,INSIDE HINGED CORNER 8',60.67
SW90,300BR,CHUTE SECTION W/CHAINS,30
SW14,300SW,"POST SHORE 5'6""-9'10"" RED",0.01
0408,301,INTAKE HOPPER W/CHAINS,36
SW64,3010SW,CAP SCREW;MODIFIED;ST,0
0202,3012,"20""X12' 750# ALUM. PICK",59
0202,3016,"20""X16' 750# ALUM. PICK",86
SW64,3017SW,BASE WELDMENT;ST-26 AIR,0
03,3018,HOIST T35 GROVD PN 3X18 434586 RPR,0.01
060,302,TRUSS SAFETY RAIL BRCKT,2
0202,3020,"20""X20' 750# ALUM. PICK",107
SW64,3020SP,LOWER DRUM BASE;ST-26,0
0202,3022,"20""X22' 750# ALUM. PICK",124
290,30223,OUTSIDE HINGED CORNER 3',7.8
290,30224,OUTSIDE HINGED CORNER 4',9.92
290,30226,OUTSIDE HINGED CORNER 6',18
290,30228,OUTSIDE HINGED CORNER 8',20
SW64,3023SW,HANDRAIL ASSY;ST-26;1 SIDE,0
0202,3024,"20""X24' 750# ALUM. PICK",135
SW64,3024-04,BAR;ANCHOR BRKT;ST-26 DROPLEAF,0
SW64,3025SW,DROP LEAF ASSY;RIGHT;ST-26,0
SW64,3026SW,DROP LEAF ASSY;LEFT;ST-26,0
0202,3028,"20""X28' 750# ALUM. PICK",192
SW64,3029SW,OVERLOAD VALVE ASSY;ST-26A,0
0408,303,PROTECTIVE LINER,32
0202,3030,"20""X30"" 750# ALUM. PICK",208
SW64,3030SP,DRIVE HOUSING SUB-ASSY;ST-26A,0
0202,3032,"20""X32' 750# ALUM. PICK",222
07,30334,(0004) NO. 1 TRIP EGG,0
07,30335,(0004) NO. 2 TRIP EGG,0
07,30336,(0004) NO. 3 TRIPP EGG,0
SW64,3033SW,TORSION BRACKET WELDMENT;ST-26,0
07,30343,(0004) PAWL,0
SW64,3036SW,DRUM;MINI;ST-26;235';CAP,0
010,304,"ANTHES DROPHEAD BEAM 7 1/2X10'6""",50
SW64,3043SW,"SPACER;DRUM;1/4""",0
07,304689,ANCHOR (100 COUNT),
07,304690,STRAP (100 COUNT),
SW64,3046SW,STIFFENER;ST-26 DROPLEAF,0
07,304700,FLEXTIE (100 COUNT),
07,304701,ANCHOR & STRAP SET,
0408,305,INTERMEDIATE HOPPER W/CHAINS,
07,30517,(0004) CABLE GUIDE,0
07,30526,(0004) FAN SAFETY SHROUD,0
07,305391,LINK FOR SKYLOCK M4,0
07,30543X2,(0004) REAR JACK HANDLE,0
07,305569,MFLEX SUPER T-PLUS FSAFE(F36),
07,305569B,MFLEX SUPER T-PLUS FLAMESF LOG,
07,305570,MFLEX SUPER T-PLUS FLAMESAFE,
SW64,3057-03,BRACKET;PIVOT;LEFT HAND,0
SW64,3057-04,BRACKET;PIVOT;RIGHT HAND,0
SW64,3058-02,"TILT CONTROL ASSY;16"";PE",0
SW64,3058SW,"TILT CONTROL ASSY;16"";STD",0
030,3059,STRINGER 190 5.4M,86.31
07,305X398,(4071) REPAIR DECAL SKYLOCK OVRSPD DEVC,0
060,306,TRUSS W OUTER 30FT (9.14M) #4E,487
07,30608,(0004) GUARD,0
SW64,3061-02,J-BOLT;GROUND DOLLY,0.1
SW64,3061-03,CASTER;RIGHT;MOD;GROUND DOLLY,0
SW64,3061-04,CASTER;LEFT;MOD;GROUND DOLLY,0
SW64,3062SW,GROUND DOLLY FRAME WELDMENT,0
060,307,TRUSS 30FT (9.14M) #5,400
SW64,3070SW,BASE ASSY; LEFT; ST-19,0
SW64,3071SW,BASE ASSY; RIGHT; ST-19,0
SW64,3075SW,CORNER;UPRIGHT WELDMENT;ST-19,0
SW64,3077SW,TOP RAIL WELDMENT;ST-19,0
SW64,3079SW,TRIPOD WELDMENT;ST-19,0
060,308,TRUSS W OUTER 30FT (9.14M) #5E,530
SW64,3082SW,FLOORBOARD;RIGHT;ST-19,0
SW64,3083SW,FLOORBOARD;LEFT;ST-19,0
SW64,3086SW,HINGE;MODIFIED;SKIRT;ST-19,0
SW64,3087SW,SKIRT ASSEMBLY;ST-19,0
060,309,TRUSS 30FT (9.14M) #6,441
SW64,3096SW,TOEBOARD;INNER;RIGHT;MOD;ST-19,0
07,30A,30 AMP ADAPTER,
0408,30CBL,30' CABLE LADDER,112.5
0408,30CL,30' CHAIN LADDER,112.5
SW64,31-001,COVER;FLYWHEEL;MC10,1
SW64,31-002,BRACKET;TENSION ROLLER;SC,1
SW64,31-003,GUARD;OVERSPEED CAM;TRAC. HSG,1
SW64,31-005,COVER;TRACTION HOUSING,1
SW64,31-007,PLATE;DIVERTER BLOCK;MC10,0.15
SW64,31-013,GUARD;REEVING ROLLER;SC HOISTS,1.1
SW64,31-020,TRIGGER;OVERSPEED;MC10 MK II,1.1
SW64,31-023,COVER;OVERSPEED;SC30/40 SERIES,1
SW64,31-033,SIDE PLT;TRACTION ROLLER;SC,1
SW64,31-035,PLATE;MANIFOLD GASKET;SC30,1
SW64,31-065,GUIDE;TAIL LINE;PC1,1
0408,310,BASIC SUPPORT FRAME,62
SW73,3100030,TUBE ALUM  PER FT. (1.90 DIA.),0.9
SW73,3100061,TUBE ALUM  2',1.8
SW73,3100091,TUBE ALUM  3',2.7
SW73,3100122,TUBE ALUM  4',3.6
SW13,3100122-US,TUBE ALUM  4',3.6
SW73,3100157,TUBE ALUM 5',4.5
SW13,3100157-US,TUBE ALUM 5',4.5
SW73,3100182,TUBE ALUM  6',5.4
SW13,3100182-US,TUBE ALUM  6',5.4
SW73,3100213,TUBE ALUM  7',6.3
SW73,3100243,TUBE ALUM  8',7.2
SW13,3100243-US,TUBE ALUM  8',7.2
SW73,3100273,TUBE ALUM  9',8.1
SW73,3100305,TUBE ALUM 10',9
SW13,3100305-US,TUBE ALUM 10',9
SW73,3100339,TUBE ALUM 11',9.9
SW73,3100368,TUBE ALUM 12',10.8
SW13,3100368-US,TUBE ALUM 12',10.8
SW73,3100426,TUBE ALUM 14',12.6
SW73,3100456,TUBE ALUM 15',13.5
SW73,3100486,TUBE ALUM 16',14.4
SW13,3100486-US,TUBE ALUM 16',14.4
SW73,3100547,TUBE ALUM 18',16.2
SW73,3100610,TUBE ALUM 20',18
07,31031,"(0004) PLUG, MALE HUBBLE #2311 (USED IN ATLAN)",0
0202,3108,"24""X 8' 750# ALUM. PICK",43
SW64,3109-05,BRACE;DIAGONAL;2' DEM,0
SW64,3109-06,BRACE;DIAGONAL;3' DEM FLYDECK,0
0202,310TUF,DECK ALUMINUM 3FT 10IN,15
0408,311,PARAPET OUTRIGGER,92
0202,3110,"24""X10' 750# ALUM. PICK",51
0202,31119,"24""X19' 750# ALUM PICK",
0202,3112,"24""X12' 750# ALUM. PICK",64
0202,31125,"24"" X 25' 750# ALUM PICK",
0202,3114,"24""X14' 750# ALUM. PICK",82
0202,3116,"24""X16' 750# ALUM. PICK",92
0202,3118,"24""X18' 750# ALUM. PICK",102
03,3119,TIRFOR A7 F JAW BLK S PLT RH RPR,0.01
SW64,3119SW,CORNER POST;FLYDECK,0
060,312,BOTTOM CHORD .300M (TRUSS I),3.75
0202,3120,24'X20' 750# ALUM. PICK,115
SW64,3120SP,ACTUATING ARM ASSY W/ROLL PIN,0
SW64,3121SW,TOP RAIL/CABLE ASSY;2',0
SW69,3122A0019,99 PH2 1/4 X 1 FMD FLAT,0
SW64,3122SW,BOTTOM RAIL/CABLE ASSY;2',0
SW64,3123SW,TOP RAIL/CABLE ASSY;3' DEM,0
0202,3124,"24""X24' 750# ALUM. PICK",145
SW64,3124SP,BOTTOM RAIL/CABLE ASSY:3',0
0202,3126,"24""X26' 750# ALUM. PICK",165
0202,3128,"24""X28' 750# ALUM. PICK",204
0202,3130,"24""X30' 750# ALUM. PICK",222
SW64,3130SP,CORNER POST ROD;DEM FLY,0
0202,3132,24'X32' 750# ALUM. PICK,236
0202,3134,"24""X34' 750# ALUM. PICK",268
0202,3136,"24""X36' 750# ALUM. PICK",323
SW64,3137SW,ARM;BRKT;LONG;STANDOFF BRKT,0
SW69,3138A0001,99 RP .125X2.00X1.75 FMD FLAT,0.1
SW69,3138A0002,99 RP .125X2.00X7.0 FMD FLAT,0
0202,3139,"24""X39' 750# ALUM. PICK",365
0408,314,FLAT ROOF OUTRIGGER,106
03,3140,TIRFOR A7 REVERSING LINK LH RPR,0.01
SW64,3141SW,ROLLER ASSY;RUBBER TEN HOLDER,0
SW64,3146SW,TOP PLATE WELDMENT;CABLE GUIDE,0
SW64,3148SW,CABLE GUIDE ASSY;SA-3148,0
0408,315,FLAT ROOF SAFETY FRAME,37
SW64,3156SW,BRIDLE WELDMENT SHORT,0
2170,31577,REPAIR RIVET,0.01
060,316,SPANDREL VERTICAL,52
SW64,3160SW,UPPER DRUM BASE ASSY;ST-19,0
SW64,3164SW,MOTOR LEAD ASSY;MALE;ST-19E,0
SW64,31656,;WORK CAGE ASSEMBLY;HD,0
SW64,3168SW,BRAKE LEAD ASSY;MALE;ST-19E,0
060,317,TRUSS SPANDREL SPLICE PLATES,6
SW64,3175SW,"SAFETY WALK;NON-SKID;8""",0
SW64,3176SW,"SAFETY WALK;NON-SKID 12""",0
SW64,3179SW,DISC;GUIDE;CABLE GUIDE,0.06
060,318,TRUSS DROP HINGED CHORD 5FT,1
SW64,3180SW,SEAL;INSPECTION HOLE,0
SW16,3181A0001,SYS VERT RING STAMPED,0.6
SW16,3181A0002,END CONNECTOR RETAINER,0
SW69,3183A0001,99 RP G LOCK SLIDE,0.1
SW16,3187B0006,SYS WEDGE STAMPING W/O FINISH,0
SW16,3187C0001,SYSTEMS SCAFFOLD END CONNECTOR,1.47
0408,319,LARGE WINCH,84
0408,320,COUNTERWEIGHTS,51
SW71,3200030,TUBE TIE ALUM 1',0.01
SW71,3200061,TUBE TIE ALUM 2',0
SW71,3200122,TUBE TIE ALUM 4',0
SW64,3205SW,HOOK;RIGGING LARGE,0
07,32092,(3089) REPAIR LABEL - SAI/SSFI WARNING,0.01
0408,321,MANUAL WINCH,142
0202,3212,"28""X12' 750# ALUM. PICK",71
0202,3214,"28""X14' 750# ALUM. PICK",91
0202,3216,"28""X16' 750# ALUM. PICK",103
0202,3218,"28""X18' 750# ALUM. PICK",117
0408,322,HOPPER RETAINER BAR,23
0202,3220,"28""X20' 750# ALUM. PICK",128
0202,3224,"28""X24' 750# ALUM. PICK",161
03,3226,BLOCK STOP A13-10 ROPE GUIDE RPR,0.01
0202,3228,"28""X28' 750# ALUM. PICK",223
0408,323,PICKING BAR FOR CRANE/HOIST,10
0202,3230,"28""X30' 750# ALUM. PICK",239
0202,3232,"28""X32' 750# ALUM. PICK",254
0202,3234,"28""X34' 750# ALUM. PICK",270
0202,3236,"28""X36' 750# ALUM. PICK",348
0202,3239,"28""X39' 750# ALUM. PICK",391
060,324,TRUSS SPACER 5FT (1.77M) #5,100
060,325,TRUSS SPACER 5FT 1.77M #5E W/O,160
SW64,32599,YOKE;KIT;04 AIR BRAKE;KEBCO,1
060,326,TRUSS SPACER 5FT (1.77M) #6,120
SW64,3269SW,PIN;BRACKET;TENSION HOLDER,0
